School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Joseph and Mary Public School,110084,520,5,5,,,400,Onetime,2500,Monthly,,,2000,Annually,10900,Annually,,,43300,3575
Joseph and Mary Public School,110084,520,6,6,,,400,Onetime,2670,Monthly,,,2000,Annually,10900,Annually,,,45340,3745
Joseph and Mary Public School,110084,520,7,7,,,400,Onetime,2760,Monthly,,,2000,Annually,10900,Annually,,,46420,3835
Joseph and Mary Public School,110084,520,8,8,,,400,Onetime,2830,Monthly,,,2000,Annually,10900,Annually,,,47260,3905
Joseph and Mary Public School,110084,520,9,9,,,400,Onetime,3020,Monthly,,,2000,Annually,11400,Annually,,,50040,4137
Joseph and Mary Public School,110084,520,10,10,,,400,Onetime,3200,Monthly,,,2000,Annually,11400,Annually,,,52200,4317
Joseph and Mary Public School,110084,520,11,14,,,400,Onetime,3740,Monthly,,,2000,Annually,10800,Annually,,,58080,4807
Joseph and Mary Public School,110084,520,12,15,,,400,Onetime,3740,Monthly,,,,,,,,,45280,3740
D.V.S. Public School,110084,504,NA,,,,,,,,,,,,,,,,0,0
Apex Public School,110084,503,1,1,,,200,Onetime,3500,Monthly,,,,,3100,Annually,,,45300,3758
Apex Public School,110084,503,2,2,,,200,Onetime,3500,Monthly,,,,,3100,Annually,,,45300,3758
Apex Public School,110084,503,3,3,,,200,Onetime,3500,Monthly,,,,,3100,Annually,,,45300,3758
Apex Public School,110084,503,4,4,,,200,Onetime,3500,Monthly,,,,,3100,Annually,,,45300,3758
Apex Public School,110084,503,5,5,,,200,Onetime,3500,Monthly,,,,,3100,Annually,,,45300,3758
Apex Public School,110084,503,6,6,,,200,Onetime,3650,Monthly,,,,,3100,Annually,,,47100,3908
Apex Public School,110084,503,7,7,,,200,Onetime,3650,Monthly,,,,,3100,Annually,,,47100,3908
Apex Public School,110084,503,8,8,,,200,Onetime,3650,Monthly,,,,,3100,Annually,,,47100,3908
Apex Public School,110084,503,9,9,,,200,Onetime,4000,Monthly,,,,,3100,Annually,,,51300,4258
Apex Public School,110084,503,10,10,,,200,Onetime,4000,Monthly,,,,,3100,Annually,,,51300,4258
Apex Public School,110084,503,11,14,,,200,Onetime,4600,Monthly,,,,,3100,Annually,,,58500,4858
Apex Public School,110084,503,12,15,,,200,Onetime,4600,Monthly,,,,,3100,Annually,,,58500,4858
Rani Public School,110084,508,Nursery,12,,,1200,Onetime,1090,Monthly,,,,,8950,Annually,,,23230,1836
Rani Public School,110084,508,KG,13,,,1200,Onetime,1205,Monthly,,,,,8950,Annually,,,24610,1951
Rani Public School,110084,508,1,1,,,1200,Onetime,1460,Monthly,,,,,8950,Annually,,,27670,2206
Rani Public School,110084,508,2,2,,,1200,Onetime,1580,Monthly,,,,,8950,Annually,,,29110,2326
Rani Public School,110084,508,3,3,,,1200,Onetime,1600,Monthly,,,,,8950,Annually,,,29350,2346
Rani Public School,110084,508,4,4,,,1200,Onetime,1680,Monthly,,,,,8950,Annually,,,30310,2426
Rani Public School,110084,508,5,5,,,1200,Onetime,1825,Monthly,,,,,8950,Annually,,,32050,2571
