School_id,School_name,Country_id,Country_name,State_id,State_name,City_id,City_name,District_id,District_name,District_region_id,_District_region_name,Area_id,Area_name,Pincode
665,J.D. Tytler School,1,India,1,Delhi,1,Delhi,3,Central Delhi,362,Rajender Nagar,,,110060
664,Manav Sthali School,1,India,1,Delhi,1,Delhi,3,Central Delhi,362,Rajender Nagar,,,110060
663,Ramjas Public School,1,India,1,Delhi,1,Delhi,3,Central Delhi,321,Anand Parbat,,,110005
662,"Salwan Public School, Rajender Nagar",1,India,1,Delhi,1,Delhi,3,Central Delhi,362,Rajender Nagar,,,110060
660,"Bal Bharati Public School, Rajender Nagar",1,India,1,Delhi,1,Delhi,3,Central Delhi,362,Rajender Nagar,,,110060
1580,"Bodhi Taru International School, Greater Noida",1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,423,Knowledge Park I,,,201308
1560,Learners International School,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,425,Knowledge Park III,,,201310
1345,Savitri Bai Phule Balika Inter College,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,421,Kasna,,,201310
1344,Sahil Public School,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,427,Knowledge Park V,,,203207
1339,Gautam Budh Balak Inter College,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,427,Knowledge Park V,,,201308
1338,Rao Kasal Public School,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,421,Kasna,,,201310
1337,Dayanand Vidya Mandir,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,428,Kulesara,,,201306
1334,Grads International School,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,489,Sector ETA II,,,201310
1333,C.L.M Public School,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,423,Knowledge Park I,,,201306
1332,Hillwoods Academy Senior Secondary School,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,488,Sector ETA I,,,201310
1331,Darbari Lal Foundation World School,1,India,2,UttarPradesh,3,Greater Noida,4,Greater Noida,528,Zeta I,,,201308
1820,Avni,1,India,1,Delhi,1,Delhi,5,East Delhi,579,Shakarpur,,,110092
1810,Hillwoods academy,1,India,1,Delhi,1,Delhi,5,East Delhi,572,Preet Vihar,,,110092
1804,Sunita Singh,1,India,1,Delhi,1,Delhi,5,East Delhi,560,Mandawali,,,110092
1799,Mother Mary's School,1,India,1,Delhi,1,Delhi,5,East Delhi,560,Mandawali,,,110092
1785,Ahlcon international school,1,India,1,Delhi,1,Delhi,5,East Delhi,589,Vivek Vihar,,,110095
1741,SALWAN PUBLIC SCHOOL MAYUR VIHAR PH 3,1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
1734,SRRJM Green Fields Public School,1,India,1,Delhi,1,Delhi,18,Shahdara,3355,Maujpur,,,110053
1731,"Vidya Bal Bhawan Public School, New Ashok Nagar",1,India,1,Delhi,1,Delhi,5,East Delhi,564,New Ashok Nagar,,,110096
1719,ASN International School,1,India,1,Delhi,1,Delhi,5,East Delhi,562,Mayur Vihar Phase - 1,,,110091
1718,"Vivekanand School,Preet Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,572,Preet Vihar,,,110092
1713,Yoga Way Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,577,Shahdara,,,110032
1694,S.L.S DAV Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,556,Krishna Nagar,,,110051
1693,"Happy English School, Anand Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1656,Vidya Bal Bhawan Sr Sec School-Mayur Vihar,1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
1654,"Vidya Bal Bhawan School, Shakarpur",1,India,1,Delhi,1,Delhi,5,East Delhi,579,Shakarpur,,,110092
1653,"Vidya Bal Bhavan Public School, Shakarpur",1,India,1,Delhi,1,Delhi,5,East Delhi,579,Shakarpur,,,110092
1579,Lovely Public English School,1,India,1,Delhi,1,Delhi,5,East Delhi,593,Yojana Vihar,,,110092
1578,Greenfields Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,589,Vivek Vihar,,,110095
1576,Lovely Public International School,1,India,1,Delhi,1,Delhi,5,East Delhi,556,Krishna Nagar,,,110051
1556,Rosemary Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,539,Dilshad Garden,,,110095
1554,"Siddharth International Public School, Dilshad Garden",1,India,1,Delhi,1,Delhi,5,East Delhi,539,Dilshad Garden,,,110095
1553,Kala Niketan Sr. Sec. Bal Vidyalaya,1,India,1,Delhi,1,Delhi,18,Shahdara,3346,DurgapuriExtension,,,110093
1121,Keshav Vidya Mandir Model School,1,India,1,Delhi,1,Delhi,5,East Delhi,560,Mandawali,,,110092
1119,Vardhman Shiksha Niketan,1,India,1,Delhi,1,Delhi,5,East Delhi,557,Laxmi Nagar (Delhi),,,110092
1116,Preet Public Senior Secondary School,1,India,1,Delhi,1,Delhi,5,East Delhi,572,Preet Vihar,,,110092
1115,Mother Convent School,1,India,1,Delhi,1,Delhi,5,East Delhi,560,Mandawali,,,110092
1114,"Delhi Convent School, Pandav Nagar",1,India,1,Delhi,1,Delhi,5,East Delhi,570,Pandav Nagar,,,110092
1112,Florence Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,562,Mayur Vihar Phase - 1,,,110091
1111,Cosmos Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,587,Vasundhara Enclave,,,110096
1110,S.N. Modern School,1,India,1,Delhi,1,Delhi,5,East Delhi,564,New Ashok Nagar,,,110096
1108,Central Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,579,Shakarpur,,,110092
1107,Kala Niketan international School,1,India,1,Delhi,1,Delhi,5,East Delhi,544,Gazipur,,,110096
1106,Dayanand Model School,1,India,1,Delhi,1,Delhi,5,East Delhi,589,Vivek Vihar,,,110095
1105,Biglow's Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,556,Krishna Nagar,,,110051
1104,Lav Kush Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
1103,Nutan Vidya Mandir School,1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1102,"Vanasthali Public School, Mayur Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
1101,East Point School,1,India,1,Delhi,1,Delhi,5,East Delhi,587,Vasundhara Enclave,,,110096
1100,"Happy English School, Geeta Colony",1,India,1,Delhi,1,Delhi,5,East Delhi,545,Geeta Colony,,,110031
1099,Spring Bales Public Senior Secondary School,1,India,1,Delhi,1,Delhi,5,East Delhi,556,Krishna Nagar,,,110051
1098,Vidya Bal Bhawan Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,579,Shakarpur,,,110092
1097,"Guru Harkrishan Public School, Anand Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1096,Dashmesh Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,587,Vasundhara Enclave,,,110096
1095,"Vidya Bal Bhawan Senior Secondary School, Mayur Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
1094,"Aster Public School, Mayur Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,562,Mayur Vihar Phase - 1,,,110091
1093,AVB Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,571,Patparganj (I.P.Extension),,,110092
1092,Adarsh Vidya Bhawan,1,India,1,Delhi,1,Delhi,5,East Delhi,571,Patparganj (I.P.Extension),,,110092
1091,Saai Memorial Girls School,1,India,1,Delhi,1,Delhi,5,East Delhi,545,Geeta Colony,,,110031
1090,"Modern Public School, Anand Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1087,"St. Mary's Senior Secondary School, Mayur Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
1086,"Ryan International School, Mayur Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
1085,National Victor Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,571,Patparganj (I.P.Extension),,,110092
1084,Universal Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,572,Preet Vihar,,,110092
1082,"Vivekanand Public School, Anand Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1081,Smt. Swarn Lata Sethi DAV Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,556,Krishna Nagar,,,110051
1080,Bhai Parmanand Vidya Mandir,1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1079,"Vivekanand International School, Patparganj",1,India,1,Delhi,1,Delhi,5,East Delhi,571,Patparganj (I.P.Extension),,,110092
1078,"Vivekanand School,Anand Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1077,"Bharti Public School, Mayur Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
1076,Shaheed Rajpal DAV Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1075,ASN Senior Secondary School,1,India,1,Delhi,1,Delhi,5,East Delhi,562,Mayur Vihar Phase - 1,,,110091
1074,Mother Mary's School,1,India,1,Delhi,1,Delhi,5,East Delhi,562,Mayur Vihar Phase - 1,,,110091
1071,"Salwan Public School, Mayur Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
1070,"G.D. Goenka Public School, Anand Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1069,Somerville School,1,India,1,Delhi,1,Delhi,5,East Delhi,587,Vasundhara Enclave,,,110096
1068,"DAV Public School, Anand Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,531,Anand Vihar,,,110092
1067,Mother's Global School,1,India,1,Delhi,1,Delhi,5,East Delhi,572,Preet Vihar,,,110092
1066,Ahlcon Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,562,Mayur Vihar Phase - 1,,,110091
1065,"Amity International School, Mayur Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,562,Mayur Vihar Phase - 1,,,110091
1064,Hillwoods Academy,1,India,1,Delhi,1,Delhi,5,East Delhi,572,Preet Vihar,,,110092
1063,Ahlcon International School,1,India,1,Delhi,1,Delhi,5,East Delhi,562,Mayur Vihar Phase - 1,,,110091
1030,Vatsalya nigam,1,India,1,Delhi,1,Delhi,5,East Delhi,556,Krishna Nagar,,,110051
422,"Mayo International School, Patparganj",1,India,1,Delhi,1,Delhi,5,East Delhi,571,Patparganj (I.P.Extension),,,110092
381,Meraj international school,1,India,1,Delhi,1,Delhi,5,East Delhi,556,Krishna Nagar,,,110051
334,"Rajdhani Public School, Mayur Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,563,Mayur Vihar Phase - 3,,,110096
329,Arwachin International School,1,India,1,Delhi,1,Delhi,5,East Delhi,539,Dilshad Garden,,,110095
323,Mother's Heritage School,1,India,1,Delhi,1,Delhi,5,East Delhi,556,Krishna Nagar,,,110051
321,"New oxford Public School, East Delhi",1,India,1,Delhi,1,Delhi,5,East Delhi,572,Preet Vihar,,,110092
317,Rishabh Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,562,Mayur Vihar Phase - 1,,,110091
315,"RPM Lovely Public Sr. Sec. School, New Layalpur",1,India,1,Delhi,1,Delhi,5,East Delhi,556,Krishna Nagar,,,110051
314,Dream weavers,1,India,1,Delhi,1,Delhi,5,East Delhi,545,Geeta Colony,,,110031
308,Plato Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,571,Patparganj (I.P.Extension),,,110092
307,St. Andrews Scots Sr. Sec. School,1,India,1,Delhi,1,Delhi,5,East Delhi,571,Patparganj (I.P.Extension),,,110092
297,Arwachin Bharti Bhawan Sr. Sec. School,1,India,1,Delhi,1,Delhi,5,East Delhi,589,Vivek Vihar,,,110095
290,Evergreen Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,587,Vasundhara Enclave,,,110096
287,Lovely Playway School,1,India,1,Delhi,1,Delhi,5,East Delhi,568,Nirman Vihar,,,110092
285,M. P. Middle School,1,India,1,Delhi,1,Delhi,5,East Delhi,587,Vasundhara Enclave,,,110096
283,St. Lawrence Public Sr. Sec. School,1,India,1,Delhi,1,Delhi,5,East Delhi,539,Dilshad Garden,,,110095
280,Mayur Public School,1,India,1,Delhi,1,Delhi,5,East Delhi,571,Patparganj (I.P.Extension),,,110092
278,"Angels Public Sr. Sec. School,Vishwas Nagar",1,India,1,Delhi,1,Delhi,5,East Delhi,588,Vishwas Nagar,,,110032
272,St. Krishna Bodh Public School,1,India,1,Delhi,1,Delhi,18,Shahdara,3347,JyotiNagar,,,110093
270,The Baptist Convent Sr. Sec School,1,India,1,Delhi,1,Delhi,5,East Delhi,571,Patparganj (I.P.Extension),,,110092
269,Queen Global International School,1,India,1,Delhi,1,Delhi,5,East Delhi,539,Dilshad Garden,,,110095
266,"New Oxford Public School, Vivek Vihar",1,India,1,Delhi,1,Delhi,5,East Delhi,589,Vivek Vihar,,,110095
262,"Angels Public School, Vasundhra Enclave",1,India,1,Delhi,1,Delhi,5,East Delhi,587,Vasundhara Enclave,,,110096
261,"Lovely Public School, Geeta Colony",1,India,1,Delhi,1,Delhi,5,East Delhi,545,Geeta Colony,,,110031
1825,Daisy Dales International School,1,India,1,Delhi,1,Delhi,7,West Delhi,667,Vikas Puri,,,110018
1824,Daisy Dales International School,1,India,1,Delhi,1,Delhi,7,West Delhi,667,Vikas Puri,,,110018
1814,Payal,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
1808,Sarvodaya Kanya Vidyalaya No 1,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
1807,"Delhi Public School, Dwarka",1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,24,Dwarka Sector 3,110078
1806,Dolphi gaba,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
1744,Bindu Batra's Mothers' Mount School,1,India,1,Delhi,1,Delhi,7,West Delhi,652,Punjabi Bagh,,,110026
1743,Oxford,1,India,1,Delhi,1,Delhi,17,South West Delhi,3221,Dabri,,,110046
1720,Natkhat,1,India,1,Delhi,1,Delhi,17,South West Delhi,3278,Najafgarh,,,110043
1709,"Inspire, Paschim Vihar",1,India,1,Delhi,1,Delhi,7,West Delhi,649,Paschim Vihar,,,110063
1708,"Inspire, Sunder Vihar",1,India,1,Delhi,1,Delhi,7,West Delhi,649,Paschim Vihar,,,110063
1677,Nirmal Bharti School,1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,9,Dwarka Sector 14,110078
1676,"N.K. Bagrodia Public School, Dwarka",1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,25,Dwarka Sector 4,110075
1675,"Mount Carmel School, Dwarka",1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,16,Dwarka Sector 22,110077
1670,"K.R. Mangalam World School, Vikaspuri",1,India,1,Delhi,1,Delhi,7,West Delhi,667,Vikas Puri,,,110018
1669,"JM International School, Dwarka",1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,6,Dwarka Sector 6,110075
1667,"Hansraj Model School, Punjabi Bagh",1,India,1,Delhi,1,Delhi,7,West Delhi,652,Punjabi Bagh,,,110026
1666,"Ganga International School, Hiran Kudna",1,India,1,Delhi,1,Delhi,7,West Delhi,623,Hirankudna,,,110041
1665,Bal Bhavan International School,1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,7,Dwarka Sector 12,110078
1664,"Bal Bharati Public School,Dwarka",1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,7,Dwarka Sector 12,110078
1661,The Indian Heights School,1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,17,Dwarka Sector 23,110075
1660,"St. Mark's Sr Sec. Public School, Paschim Vihar",1,India,1,Delhi,1,Delhi,7,West Delhi,650,Paschim Vihar B Block,,,110087
1658,Sri Venkateshwar International School,1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,13,Dwarka Sector 18,110078
1625,Vagishwari World School,1,India,1,Delhi,1,Delhi,7,West Delhi,641,Matiala,,,110059
1573,SKR Sr Sec Public School,1,India,1,Delhi,1,Delhi,3,Central Delhi,340,Inderpuri,,,110012
1561,khemo devi public school,1,India,1,Delhi,1,Delhi,9,North West Delhi,811,Narela,,,110040
1353,"Delhi International School, Dwarka",1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,16,Dwarka Sector 22,110077
1351,"Prudence Schools, Dwarka",1,India,1,Delhi,1,Delhi,17,South West Delhi,3232,Dwarka,16,Dwarka Sector 22,110077
783,Sanjeevani Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
782,M.R. Vivekananda Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,667,Vikas Puri,,,110018
781,G.D. Lancer's Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
780,D.S. Memorial Public Senior Secondary School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
779,Nathu Ram Convent Senior Secondary School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
777,Gurusharan Convent School,1,India,1,Delhi,1,Delhi,7,West Delhi,650,Paschim Vihar B Block,,,110087
776,New Saraswati Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
775,Maharishi Dayanand Model School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
773,Parag Bharati Model School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
772,DR. S.R.S Mission School,1,India,1,Delhi,1,Delhi,7,West Delhi,626,Janakpuri B-1,,,110058
771,R.S. Secondary Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
770,Shivani Public Senior Secondary School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
768,Deepanshu Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
767,Muni International School,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
766,R.P. Memorial Senior Secondary Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
765,"Saraswati Bal Mandir, Paschim Vihar",1,India,1,Delhi,1,Delhi,7,West Delhi,649,Paschim Vihar,,,110063
764,Guru Amar Das Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,664,Tilak Nagar (West Delhi),,,110018
763,Shri Vishwakarma Model School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
762,Arya Public Secondary School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
761,Divine Happy Senior Secondary School,1,India,1,Delhi,1,Delhi,7,West Delhi,649,Paschim Vihar,,,110063
760,Holy Kids Play School,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
759,"Kamal Public Senior Secondary School, Vikaspuri",1,India,1,Delhi,1,Delhi,7,West Delhi,667,Vikas Puri,,,110018
758,B.R. Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
755,Shri Daulat Ram Public Senior Secondary School,1,India,1,Delhi,1,Delhi,7,West Delhi,644,Nangloi,,,110041
753,Capital Model School,1,India,1,Delhi,1,Delhi,7,West Delhi,664,Tilak Nagar (West Delhi),,,110018
752,Nirvan Roopam Modern School,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
751,Vasundhara Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
750,Angel Public School,1,India,1,Delhi,1,Delhi,7,West Delhi,666,Uttam Nagar,,,110059
